1	1	0.248008960344632
1	16	0.544244268213425
1	2	0.129542608059337
1	32	0.837536717515577
1	4	0.53048817012904
1	8	0.78154917069422
2_1	16	0
2_1	2	0
2_1	32	0
2_1	4	0
2_1	8	0
2_2	16	0
2_2	2	0
2_2	32	3.9256153883116E-11
2_2	4	0
2_2	8	0
2_3	16	0.368441259085686
2_3	2	0.297638806600225
2_3	32	0.0677176421309617
2_3	4	0.00680175490855506
2_3	8	0.431271976344027
2_4	16	0.171033039194459
2_4	2	0.544179879784298
2_4	32	0.797419085180706
2_4	4	0.0382751532961407
2_4	8	0.00750565845129447
3	1	0
3	16	0.511800235165206
3	2	0
3	32	0.0410356397077271
3	4	0.242157029585893
3	8	0.165493058151224
4	1	0
4	16	0.155474149576907
4	2	0.0344058078520249
4	32	0.0935365781895516
4	4	0.240669820160851
4	8	0.267119398799594
5	1	0.687594015529432
5	16	0.158167022190918
5	2	0.0479717355690901
5	32	0.60580664176794
5	4	0.433989693925126
5	8	0.983420499680675
6	16	0.480869741431754
6	2	0.26614039124764
6	32	0.373441149526125
6	4	0.984617316666799
6	8	0.922724018531692
